 Quad  G[T/m]   length[m]   pos[m]    
LI_MEBT1:QM01  -30.999387   +0.077485     +0.113470
LI_MEBT1:QM02  +21.505028   +0.082864     +0.333470
LI_MEBT1:QM03  -12.876467   +0.082864     +0.673494
LI_MEBT1:QM04   +7.784401   +0.087740     +1.445094
LI_MEBT1:QM05   -9.885300   +0.087740     +1.969643
LI_MEBT1:QM06  +16.988900   +0.082864     +2.425141
LI_MEBT1:QM07  -20.390300   +0.082864     +2.604719
LI_MEBT1:QM08  +12.768900   +0.082864     +2.775106
LI_DTL1:DTQ01  -40.623219   +0.040992     +2.971411
LI_DTL1:DTQ02  +80.201524   +0.040992     +3.045877
LI_DTL1:DTQ03  -78.284200   +0.040992     +3.121781
LI_DTL1:DTQ04  +76.980700   +0.040992     +3.199147
LI_DTL1:DTQ05  -77.200100   +0.040992     +3.278015
LI_DTL1:DTQ06  +77.205200   +0.040992     +3.358337
LI_DTL1:DTQ07  -72.855118   +0.042823     +3.440231
LI_DTL1:DTQ08  +71.954134   +0.042823     +3.523482
LI_DTL1:DTQ09  -71.101902   +0.042823     +3.608345
LI_DTL1:DTQ10  +70.249670   +0.042823     +3.694665
LI_DTL1:DTQ11  -69.447321   +0.042823     +3.782497
LI_DTL1:DTQ12  +68.644973   +0.042823     +3.871768
LI_DTL1:DTQ13  -67.889728   +0.042823     +3.962620
LI_DTL1:DTQ14  +67.134482   +0.042823     +4.054930
LI_DTL1:DTQ15  -66.424919   +0.042823     +4.148809
LI_DTL1:DTQ16  +65.715357   +0.042823     +4.244153
LI_DTL1:DTQ17  -65.045623   +0.042823     +4.341024
LI_DTL1:DTQ18  +64.375890   +0.042823     +4.439399
LI_DTL1:DTQ19  -63.740561   +0.042823     +4.539241
LI_DTL1:DTQ20  +63.155600   +0.042823     +4.640619
LI_DTL1:DTQ21  -61.500500   +0.042823     +4.743539
LI_DTL1:DTQ22  +61.074700   +0.042823     +4.847887
LI_DTL1:DTQ23  -63.392000   +0.042823     +4.953894
LI_DTL1:DTQ24  +48.115903   +0.057816     +5.061269
LI_DTL1:DTQ25  -47.626750   +0.057816     +5.170235
LI_DTL1:DTQ26  +47.137597   +0.057816     +5.280705
LI_DTL1:DTQ27  -46.665770   +0.057816     +5.392664
LI_DTL1:DTQ28  +46.193942   +0.057816     +5.506144
LI_DTL1:DTQ29  -45.521706   +0.057816     +5.621096
LI_DTL1:DTQ30  +45.521706   +0.057816     +5.737635
LI_DTL1:DTQ31  -44.670634   +0.057816     +5.855586
LI_DTL1:DTQ32  +44.670634   +0.057816     +5.975150
LI_DTL1:DTQ33  -43.867636   +0.057816     +6.096126
LI_DTL1:DTQ34  +43.867636   +0.057816     +6.218703
LI_DTL1:DTQ35  -43.094582   +0.057816     +6.342768
LI_DTL1:DTQ36  +43.094582   +0.057816     +6.468326
LI_DTL1:DTQ37  -42.353413   +0.057816     +6.595312
LI_DTL1:DTQ38  +42.353413   +0.057816     +6.723854
LI_DTL1:DTQ39  -41.646540   +0.057816     +6.853904
LI_DTL1:DTQ40  +41.646540   +0.057816     +6.985512
LI_DTL1:DTQ41  -40.973921   +0.057816     +7.118539
LI_DTL1:DTQ42  +40.973921   +0.057816     +7.253008
LI_DTL1:DTQ43  -40.332640   +0.057816     +7.389042
LI_DTL1:DTQ44  +40.332640   +0.057816     +7.526594
LI_DTL1:DTQ45  -39.718432   +0.057816     +7.665627
LI_DTL1:DTQ46  +39.718432   +0.057816     +7.806087
LI_DTL1:DTQ47  -39.123371   +0.057816     +7.948080
LI_DTL1:DTQ48  +39.123371   +0.057816     +8.091536
LI_DTL1:DTQ49  -38.552791   +0.057816     +8.236500
LI_DTL1:DTQ50  +38.552791   +0.057816     +8.383008
LI_DTL1:DTQ51  -38.002368   +0.057816     +8.530893
LI_DTL1:DTQ52  +38.002368   +0.057816     +8.680317
LI_DTL1:DTQ53  -37.604908   +0.057816     +8.831196
LI_DTL1:DTQ54  +36.299900   +0.057816     +8.983535
LI_DTL1:DTQ55  -36.645400   +0.057816     +9.137287
LI_DTL1:DTQ56  +38.573200   +0.057816     +9.292569
LI_DTL1:DTQ57  -27.514500   +0.082718     +9.450261
LI_DTL1:DTQ58  +25.964753   +0.090014     +9.607563
LI_DTL1:DTQ59  -25.735901   +0.090014     +9.767239
LI_DTL1:DTQ60  +25.507049   +0.090014     +9.928380
LI_DTL1:DTQ61  -25.223467   +0.090014    +10.091021
LI_DTL1:DTQ62  +25.223467   +0.090014    +10.255189
LI_DTL1:DTQ63  -24.853260   +0.090014    +10.420727
LI_DTL1:DTQ64  +24.853260   +0.090014    +10.587779
LI_DTL1:DTQ65  -24.583788   +0.090014    +10.756299
LI_DTL1:DTQ66  +24.406209   +0.090014    +10.926294
LI_DTL1:DTQ67  -24.150148   +0.090014    +11.097721
